Modern Verse
"靜聽那烈日的蟬聲
喝一碗涼茶
把一個腫瘤養起來
不戳破 不割損
除膿 祛瘀 限增殖
綠蔭下
徐步 徐步
我在靜聽烈日的
蟬聲"
"水
漫過來，悄無聲息的
一條虛幻的蛇
蛇信子的變異
我不知道是不是故意
我的偏愛是真的
肌膚的紋理中
游動著搖頭擺尾的魚
神秘而不失親切
我把刀藏了起來
防止它失手斷了我的血液
再把門一扇一扇封閉
我自私，海是我
生命的一部分"
"像一種儀式
像一種儀式，眼淚
要掉得戲作地錯過安慰　緩慢
想起
你說晚安的模樣
藏匿另一種儀式關於
告別　之所以不說再見是因為
你只是路過我
一如我隱晦地指涉喜歡
也是一種儀式，比較
輕率且認真且不被你懂
繼續練習說愛以及想像
你仍然將我偏愛"
